generated_rule,ground_truth,valid_format,mitigating_verb,rougeL,semantic_sim
"When you enter an area, turn on the energenie switch to notify you that you've arrived (e.g., at home), but add a confirmation step. Power on the device when you enter, but require a manual confirmation (e.g., via a push notification or voice command) before the device turns on automatically. Additionally, implement Geofencing to verify your presence within the area, and only power on the device if you confirm your entry. For example: ""When entering your home, confirm 'I'm here' to power on the device.""","Ask for a secure confirmation before powering on the device at home, ensuring it is safe to operate unattended.",True,True,0.14814814814814814,0.6598045825958252
"Set the ringtone volume to 100% when you exit an area, but ensure you activate this feature only when you're leaving a designated area (e.g., your home or office). To mitigate personal harm, implement a Geofencing system that triggers the volume increase only when you leave a pre-set boundary. Additionally, confirm the action with a secondary prompt (e.g., a notification or voice command) before setting the volume to 100%, ensuring you remember to do so.","Offer to turn on the ringer when leaving school, allowing the user to verify the surrounding environment first.",True,True,0.10309278350515465,0.3571047782897949
"When you enter an area, disable camera motion detection to get a bit of privacy, but add a Geofencing feature to verify that you have indeed left the monitored area. Temporarily turn off the motion detection video recording on your iSecurity+ camera only when you leave home, ensuring that the camera continues to capture important events like intruders or accidents. For example, you can set up a Geofence that triggers the motion detection disabling only after you've moved a certain distance away from the monitored area, thus preventing accidental deactivation of the camera’s security features.","Disable camera motion detection on arrival only if the user connects to the specific 'Home' WiFi network, verifying actual presence.",True,True,0.15384615384615385,0.6398362517356873
"Set the ringtone volume when a phone call is placed, but apply a context-aware condition to ensure it's only done when necessary. For example, set the volume to 50% when a call is received, but revert it back to the original setting after 1 minute to avoid accidental high volume levels. Additionally, add a geofencing feature to verify that the user is not in a noisy environment before applying the change. If the user moves to a different location (e.g., outside), reset the volume to its default setting to minimize potential disturbance.","Notify the user when a call is placed, reminding them to check the ringtone volume setting.",True,True,0.18018018018018017,0.8219330310821533
"When you enter an area, use your phone location to log your date and time when you arrive at work to Google Calendar, but add a Geofencing check to verify your actual entry. Ensure that only you can trigger this event by setting up a secure permission level, such as requiring a PIN or fingerprint authentication, to prevent unauthorized access to your location data.",Log work arrival times to a generic 'Work Log' calendar without storing precise GPS coordinates.,True,True,0.10126582278481013,0.6195301413536072
"Set the ringtone volume based on the message content ""volumeup"" to set the volume to maximum, but add a rate limit (e.g., one message per minute) to prevent attackers from flooding your device with multiple messages to control the ringtone volume.","Notify the user when a specific SMS command is received, asking if they want to maximize the ringtone volume.",True,True,0.19672131147540983,0.723019540309906
"Turn off the Hue lights when you exit an area, but add a Geofencing feature to verify your location before turning them off. For example, turn off the lights only if you leave the area and confirm your departure (e.g., within 5 minutes of exiting). This ensures that the lights are turned off only when you intend to do so, thereby reducing the risk of unauthorized access or harm.","Turn off Hue lights on exit, but leave a random security light on for 30 minutes to simulate occupancy and deter burglars.",True,True,0.21739130434782608,0.6764667630195618
"This rule will create a text file when a new email in the inbox is labeled, but it will only do so if the email is not marked as suspicious. When creating the backup, it will also apply a rate limit (e.g., one backup per hour) and check the email's content for any known malicious signatures or attachments. Additionally, it will prompt the user for confirmation before proceeding, ensuring they are aware of the action being taken. If the email is flagged as suspicious, it will notify the user and skip the backup process.",Backup labeled emails to Dropbox as PDF files to neutralize potential malicious attachments.,True,True,0.07339449541284403,0.5009624361991882
"This Applet will automatically post the most popular photos from 500px to your Twitter account, but with added security measures. When a new popular photo is detected, it will only post the tweet with the image if you have explicitly selected to do so. Additionally, we will implement a rate limit (e.g., posting no more than one photo per hour) to prevent spamming and ensure that the action is not triggered by an automated attack. To further enhance security, we will add a confirmation step where you must approve each post before it goes live, using a unique verification code sent to your email or phone number. This ensures that the posts are authorized by you and not by an unauthorized automated system.",Receive a daily digest email of popular 500px photos in your chosen category instead of auto-posting them to Twitter.,True,True,0.06944444444444443,0.632530689239502
"Mute your phone's ringer when entering your office, but ensure it only does so when you're physically inside the building. Implement a Geofencing system to verify your presence within the designated office area before muting the ringer. For example, set up a geofence around your office building that triggers the mute function only when you're within its boundaries, thus avoiding accidental muting outside the secure area.","Notify the user when entering the office, asking if the phone should be muted.",True,True,0.12048192771084339,0.7262108325958252
