Caricamento Reward Model (Judge)...
--- Inizio GRPO Training (Final Version) ---
⚠️  LITE MODE: Riduzione dataset a 400 esempi...
Caricamento Modello SFT da sft_xml_output...
🚀 Avvio Training GRPO...
{'loss': 0.0374, 'grad_norm': 1.2265625, 'learning_rate': 1.9733333333333332e-06, 'num_tokens': 13630.0, 'completions/mean_length': 39.75, 'completions/min_length': 30.4, 'completions/max_length': 50.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.75, 'completions/min_terminated_length': 30.4, 'completions/max_terminated_length': 50.0, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.649799346923828, 'rewards/safety_judge_reward/std': 3.3924439907073975, 'rewards/brevity_reward/mean': 0.4362500011920929, 'rewards/brevity_reward/std': 0.12427972555160523, 'reward': 6.586049365997314, 'reward_std': 3.4718069076538085, 'frac_reward_zero_std': 0.0, 'entropy': 0.41445105262100695, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.807876279950142, 'epoch': 0.03}
{'loss': 0.013, 'grad_norm': 1.5859375, 'learning_rate': 1.94e-06, 'num_tokens': 27832.0, 'completions/mean_length': 46.85, 'completions/min_length': 32.6, 'completions/max_length': 67.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 46.85, 'completions/min_terminated_length': 32.6, 'completions/max_terminated_length': 67.2, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 3.730912780761719, 'rewards/safety_judge_reward/std': 3.1255455017089844, 'rewards/brevity_reward/mean': 0.1787499964237213, 'rewards/brevity_reward/std': 0.439384201169014, 'reward': 5.409662818908691, 'reward_std': 3.3822002530097963, 'frac_reward_zero_std': 0.0, 'entropy': 0.41612497977912427, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.259071380109527, 'epoch': 0.05}
{'loss': 0.0174, 'grad_norm': 1.0390625, 'learning_rate': 1.9066666666666667e-06, 'num_tokens': 41896.0, 'completions/mean_length': 42.1, 'completions/min_length': 32.6, 'completions/max_length': 52.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 42.1, 'completions/min_terminated_length': 32.6, 'completions/max_terminated_length': 52.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 2.3583953857421873, 'rewards/safety_judge_reward/std': 3.2392807006835938, 'rewards/brevity_reward/mean': 0.3762499988079071, 'rewards/brevity_reward/std': 0.20338850915431977, 'reward': 4.234645366668701, 'reward_std': 3.3462823390960694, 'frac_reward_zero_std': 0.0, 'entropy': 0.3463091190904379, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.98457074004691, 'epoch': 0.07}
{'loss': 0.0236, 'grad_norm': 1.671875, 'learning_rate': 1.8733333333333331e-06, 'num_tokens': 56092.0, 'completions/mean_length': 45.5, 'completions/min_length': 34.4, 'completions/max_length': 62.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.5, 'completions/min_terminated_length': 34.4, 'completions/max_terminated_length': 62.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 3.2660179138183594, 'rewards/safety_judge_reward/std': 3.062131404876709, 'rewards/brevity_reward/mean': 0.3362500011920929, 'rewards/brevity_reward/std': 0.20395991206169128, 'reward': 5.102267932891846, 'reward_std': 3.1953966856002807, 'frac_reward_zero_std': 0.0, 'entropy': 0.35392491780221463, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.552295440016314, 'epoch': 0.1}
{'loss': 0.02, 'grad_norm': 1.6640625, 'learning_rate': 1.84e-06, 'num_tokens': 70438.0, 'completions/mean_length': 45.75, 'completions/min_length': 36.2, 'completions/max_length': 59.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.75, 'completions/min_terminated_length': 36.2, 'completions/max_terminated_length': 59.8, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 2.161661720275879, 'rewards/safety_judge_reward/std': 3.4862881183624266, 'rewards/brevity_reward/mean': 0.31875, 'rewards/brevity_reward/std': 0.22965546250343322, 'reward': 3.9804117679595947, 'reward_std': 3.5089564323425293, 'frac_reward_zero_std': 0.0, 'entropy': 0.37801586240530016, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.460659540095367, 'epoch': 0.12}
{'loss': -0.029, 'grad_norm': 1.2734375, 'learning_rate': 1.8066666666666666e-06, 'num_tokens': 83987.0, 'completions/mean_length': 39.125, 'completions/min_length': 33.2, 'completions/max_length': 48.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.125, 'completions/min_terminated_length': 33.2, 'completions/max_terminated_length': 48.2, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.7139114379882812, 'rewards/safety_judge_reward/std': 3.0965393781661987, 'rewards/brevity_reward/mean': 0.41875, 'rewards/brevity_reward/std': 0.13210809826850892, 'reward': 3.6326614379882813, 'reward_std': 3.1401735067367555, 'frac_reward_zero_std': 0.1, 'entropy': 0.3248590860515833, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.712027799990029, 'epoch': 0.15}
{'loss': 0.0197, 'grad_norm': 1.34375, 'learning_rate': 1.7733333333333334e-06, 'num_tokens': 98155.0, 'completions/mean_length': 42.1, 'completions/min_length': 32.6, 'completions/max_length': 55.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 42.1, 'completions/min_terminated_length': 32.6, 'completions/max_terminated_length': 55.8, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.3431598663330078, 'rewards/safety_judge_reward/std': 2.4495931386947634, 'rewards/brevity_reward/mean': 0.3337500005960464, 'rewards/brevity_reward/std': 0.23302505910396576, 'reward': 3.176909828186035, 'reward_std': 2.572390985488892, 'frac_reward_zero_std': 0.0, 'entropy': 0.32404820136725904, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.255085259932093, 'epoch': 0.17}
{'loss': 0.0119, 'grad_norm': 1.46875, 'learning_rate': 1.7399999999999999e-06, 'num_tokens': 112239.0, 'completions/mean_length': 46.5, 'completions/min_length': 36.6, 'completions/max_length': 59.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 46.5, 'completions/min_terminated_length': 36.6, 'completions/max_terminated_length': 59.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.46193470954895, 'rewards/safety_judge_reward/std': 2.6375805616378782, 'rewards/brevity_reward/mean': 0.26875, 'rewards/brevity_reward/std': 0.3032557010650635, 'reward': 3.2306846141815186, 'reward_std': 2.564982795715332, 'frac_reward_zero_std': 0.0, 'entropy': 0.3616558652371168, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.337625460047274, 'epoch': 0.2}
{'loss': -0.0007, 'grad_norm': 2.234375, 'learning_rate': 1.7066666666666667e-06, 'num_tokens': 125980.0, 'completions/mean_length': 40.225, 'completions/min_length': 30.4, 'completions/max_length': 50.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 40.225, 'completions/min_terminated_length': 30.4, 'completions/max_terminated_length': 50.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 3.12965087890625, 'rewards/safety_judge_reward/std': 3.7482556343078612, 'rewards/brevity_reward/mean': 0.36875, 'rewards/brevity_reward/std': 0.15954967141151427, 'reward': 4.99840087890625, 'reward_std': 3.811338019371033, 'frac_reward_zero_std': 0.0, 'entropy': 0.4120032168924809, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.025966240046547, 'epoch': 0.23}
{'loss': 0.0091, 'grad_norm': 1.328125, 'learning_rate': 1.6733333333333333e-06, 'num_tokens': 139983.0, 'completions/mean_length': 41.975, 'completions/min_length': 33.4, 'completions/max_length': 54.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 41.975, 'completions/min_terminated_length': 33.4, 'completions/max_terminated_length': 54.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 3.229248046875, 'rewards/safety_judge_reward/std': 2.908235454559326, 'rewards/brevity_reward/mean': 0.4212500035762787, 'rewards/brevity_reward/std': 0.15288881659507753, 'reward': 5.150498104095459, 'reward_std': 2.947233963012695, 'frac_reward_zero_std': 0.0, 'entropy': 0.3396217066794634, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.946474539954215, 'epoch': 0.25}
{'loss': -0.0159, 'grad_norm': 1.34375, 'learning_rate': 1.6399999999999998e-06, 'num_tokens': 153824.0, 'completions/mean_length': 41.025, 'completions/min_length': 31.8, 'completions/max_length': 48.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 41.025, 'completions/min_terminated_length': 31.8, 'completions/max_terminated_length': 48.8, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.064810180664063, 'rewards/safety_judge_reward/std': 2.741798996925354, 'rewards/brevity_reward/mean': 0.4275000005960464, 'rewards/brevity_reward/std': 0.08464210629463195, 'reward': 5.992310190200806, 'reward_std': 2.742828130722046, 'frac_reward_zero_std': 0.0, 'entropy': 0.36401412189006804, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.809462059987709, 'epoch': 0.28}
