
==================================================
🚀 AVVIO GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
{'loss': -0.0402, 'grad_norm': 0.91796875, 'learning_rate': 9.9e-07, 'num_tokens': 10293.0, 'completions/mean_length': 84.725, 'completions/min_length': 53.8, 'completions/max_length': 115.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 84.725, 'completions/min_terminated_length': 53.8, 'completions/max_terminated_length': 115.4, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.2898300409317016, 'rewards/semantic_consistency_reward/mean': -0.020000000298023225, 'rewards/semantic_consistency_reward/std': 0.08141604661941529, 'rewards/conditional_perplexity_reward/mean': 0.12691810131072997, 'rewards/conditional_perplexity_reward/std': 0.03351182602345944, 'reward': 1.0069180727005005, 'reward_std': 2.4930596590042113, 'frac_reward_zero_std': 0.0, 'entropy': 1.5017568737268447, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 40.26380831992719, 'epoch': 0.03}
{'loss': -0.0572, 'grad_norm': 0.765625, 'learning_rate': 9.775e-07, 'num_tokens': 20512.0, 'completions/mean_length': 83.175, 'completions/min_length': 47.0, 'completions/max_length': 124.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 83.175, 'completions/min_terminated_length': 47.0, 'completions/max_terminated_length': 124.8, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.1700168609619142, 'rewards/strict_format_and_content_reward/mean': 1.175, 'rewards/strict_format_and_content_reward/std': 1.4859675645828248, 'rewards/semantic_consistency_reward/mean': 0.07999999523162842, 'rewards/semantic_consistency_reward/std': 0.08684962391853332, 'rewards/conditional_perplexity_reward/mean': 0.11449019312858581, 'rewards/conditional_perplexity_reward/std': 0.03622634597122669, 'reward': 0.8694901704788208, 'reward_std': 2.6499054707586764, 'frac_reward_zero_std': 0.0, 'entropy': 1.524570383131504, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 44.108262340002696, 'epoch': 0.05}
{'loss': -0.0555, 'grad_norm': 0.65625, 'learning_rate': 9.649999999999999e-07, 'num_tokens': 31769.0, 'completions/mean_length': 96.825, 'completions/min_length': 55.8, 'completions/max_length': 138.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 96.825, 'completions/min_terminated_length': 55.8, 'completions/max_terminated_length': 138.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 1.0606601238250732, 'rewards/semantic_consistency_reward/mean': 0.10999999940395355, 'rewards/semantic_consistency_reward/std': 0.29896745681762693, 'rewards/conditional_perplexity_reward/mean': 0.14711496531963347, 'rewards/conditional_perplexity_reward/std': 0.04793972671031952, 'reward': 1.6321150183677673, 'reward_std': 1.9706770345568656, 'frac_reward_zero_std': 0.0, 'entropy': 1.4529910147190095, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 47.56297190000769, 'epoch': 0.07}
{'loss': 0.0059, 'grad_norm': 0.78125, 'learning_rate': 9.525e-07, 'num_tokens': 42137.0, 'completions/mean_length': 82.4, 'completions/min_length': 55.0, 'completions/max_length': 120.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 82.4, 'completions/min_terminated_length': 55.0, 'completions/max_terminated_length': 120.6, 'rewards/lazy_penalty_reward/mean': -0.625, 'rewards/lazy_penalty_reward/std': 1.2246560096740722, 'rewards/strict_format_and_content_reward/mean': 1.175, 'rewards/strict_format_and_content_reward/std': 1.4431468486785888, 'rewards/semantic_consistency_reward/mean': 0.0, 'rewards/semantic_consistency_reward/std': 0.0, 'rewards/conditional_perplexity_reward/mean': 0.12491953670978546, 'rewards/conditional_perplexity_reward/std': 0.04654379189014435, 'reward': 0.674919593334198, 'reward_std': 2.665995431691408, 'frac_reward_zero_std': 0.0, 'entropy': 1.5864039480686187, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 45.96115536002908, 'epoch': 0.1}
{'loss': 0.0265, 'grad_norm': 0.7734375, 'learning_rate': 9.399999999999999e-07, 'num_tokens': 51915.0, 'completions/mean_length': 84.05, 'completions/min_length': 49.6, 'completions/max_length': 146.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 80.85, 'completions/min_terminated_length': 49.6, 'completions/max_terminated_length': 124.4, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.25, 'rewards/strict_format_and_content_reward/std': 1.5293965578079223, 'rewards/semantic_consistency_reward/mean': 0.08499999344348907, 'rewards/semantic_consistency_reward/std': 0.3247169733047485, 'rewards/conditional_perplexity_reward/mean': 0.12853986918926238, 'rewards/conditional_perplexity_reward/std': 0.04197918735444546, 'reward': 0.9635398983955383, 'reward_std': 3.0829037189483643, 'frac_reward_zero_std': 0.0, 'entropy': 1.4505543366074563, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 50.5370755199343, 'epoch': 0.12}
{'eval_loss': -0.02083548530936241, 'eval_runtime': 1121.0653, 'eval_samples_per_second': 0.045, 'eval_steps_per_second': 0.006, 'eval_num_tokens': 51915.0, 'eval_completions/mean_length': 95.305, 'eval_completions/min_length': 60.68, 'eval_completions/max_length': 153.44, 'eval_completions/clipped_ratio': 0.025, 'eval_completions/mean_terminated_length': 92.61285827636719, 'eval_completions/min_terminated_length': 60.68, 'eval_completions/max_terminated_length': 141.16, 'eval_rewards/lazy_penalty_reward/mean': -0.325, 'eval_rewards/lazy_penalty_reward/std': 0.7727207994461059, 'eval_rewards/strict_format_and_content_reward/mean': 1.405, 'eval_rewards/strict_format_and_content_reward/std': 1.2485973024368286, 'eval_rewards/semantic_consistency_reward/mean': 0.0839999970793724, 'eval_rewards/semantic_consistency_reward/std': 0.21388816475868225, 'eval_rewards/conditional_perplexity_reward/mean': 0.1315926095843315, 'eval_rewards/conditional_perplexity_reward/std': 0.04269969388842583, 'eval_reward': 1.2955926263332367, 'eval_reward_std': 2.12893833771348, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.6302141380310058, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': -0.021, 'grad_norm': 0.875, 'learning_rate': 9.274999999999999e-07, 'num_tokens': 62069.0, 'completions/mean_length': 86.85, 'completions/min_length': 57.8, 'completions/max_length': 124.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 86.85, 'completions/min_terminated_length': 57.8, 'completions/max_terminated_length': 124.2, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.375, 'rewards/strict_format_and_content_reward/std': 1.1484243750572205, 'rewards/semantic_consistency_reward/mean': -1.4901161193847657e-09, 'rewards/semantic_consistency_reward/std': 0.19148095846176147, 'rewards/conditional_perplexity_reward/mean': 0.11504558771848679, 'rewards/conditional_perplexity_reward/std': 0.03171383589506149, 'reward': 1.4900455474853516, 'reward_std': 1.252562201023102, 'frac_reward_zero_std': 0.0, 'entropy': 1.5943127065896987, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 43.66976494002156, 'epoch': 0.15}
{'loss': -0.0535, 'grad_norm': 0.84375, 'learning_rate': 9.15e-07, 'num_tokens': 72466.0, 'completions/mean_length': 91.325, 'completions/min_length': 54.6, 'completions/max_length': 134.4, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 88.97857208251953, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 124.4, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 0.8164634466171264, 'rewards/strict_format_and_content_reward/mean': 1.175, 'rewards/strict_format_and_content_reward/std': 1.6454455375671386, 'rewards/semantic_consistency_reward/mean': 0.19999998807907104, 'rewards/semantic_consistency_reward/std': 0.4024460852146149, 'rewards/conditional_perplexity_reward/mean': 0.11736099123954773, 'rewards/conditional_perplexity_reward/std': 0.039386530965566637, 'reward': 1.117361056804657, 'reward_std': 2.472561299800873, 'frac_reward_zero_std': 0.0, 'entropy': 1.615951234102249, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 45.9402202000143, 'epoch': 0.17}
{'loss': 0.0798, 'grad_norm': 0.88671875, 'learning_rate': 9.024999999999999e-07, 'num_tokens': 82868.0, 'completions/mean_length': 95.95, 'completions/min_length': 57.6, 'completions/max_length': 156.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 95.95, 'completions/min_terminated_length': 57.6, 'completions/max_terminated_length': 156.0, 'rewards/lazy_penalty_reward/mean': -0.875, 'rewards/lazy_penalty_reward/std': 1.7422835111618042, 'rewards/strict_format_and_content_reward/mean': 0.575, 'rewards/strict_format_and_content_reward/std': 2.4855385780334474, 'rewards/semantic_consistency_reward/mean': 0.049999992549419406, 'rewards/semantic_consistency_reward/std': 0.5725700497627259, 'rewards/conditional_perplexity_reward/mean': 0.132527956366539, 'rewards/conditional_perplexity_reward/std': 0.032971888408064844, 'reward': -0.11747211217880249, 'reward_std': 4.370120906829834, 'frac_reward_zero_std': 0.0, 'entropy': 1.5485450625419617, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 54.13571442009415, 'epoch': 0.2}
{'loss': -0.08, 'grad_norm': 0.7109375, 'learning_rate': 8.9e-07, 'num_tokens': 93264.0, 'completions/mean_length': 89.7, 'completions/min_length': 55.8, 'completions/max_length': 143.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.7, 'completions/min_terminated_length': 55.8, 'completions/max_terminated_length': 143.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.15, 'rewards/strict_format_and_content_reward/std': 1.7032040715217591, 'rewards/semantic_consistency_reward/mean': -0.040000006556510925, 'rewards/semantic_consistency_reward/std': 0.4446175336837769, 'rewards/conditional_perplexity_reward/mean': 0.14825987815856934, 'rewards/conditional_perplexity_reward/std': 0.05781511962413788, 'reward': 1.0082598447799682, 'reward_std': 2.594446933269501, 'frac_reward_zero_std': 0.0, 'entropy': 1.550675442814827, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 54.42985282002483, 'epoch': 0.23}
{'loss': -0.0945, 'grad_norm': 0.71484375, 'learning_rate': 8.774999999999999e-07, 'num_tokens': 104038.0, 'completions/mean_length': 93.45, 'completions/min_length': 61.6, 'completions/max_length': 147.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 93.45, 'completions/min_terminated_length': 61.6, 'completions/max_terminated_length': 147.2, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.636396074295044, 'rewards/semantic_consistency_reward/mean': 0.07000000178813934, 'rewards/semantic_consistency_reward/std': 0.20746725797653198, 'rewards/conditional_perplexity_reward/mean': 0.12486961632966995, 'rewards/conditional_perplexity_reward/std': 0.03779512457549572, 'reward': 1.844869613647461, 'reward_std': 1.0841960690915584, 'frac_reward_zero_std': 0.0, 'entropy': 1.496570533514023, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 50.435865879966876, 'epoch': 0.25}
