Step	Epoch	Train Loss	Validation Loss
--------------------------------------------------
10	0.05	2.5852		
20	0.11	2.1247		
30	0.16	1.6131		
40	0.22	1.2743		
50	0.27	1.0166		
50	0.27			1.0098
60	0.32	0.9131		
70	0.38	0.8716		
80	0.43	0.9029		
90	0.49	0.7692		
100	0.54	0.7729		
100	0.54			0.7534
110	0.59	0.7366		
120	0.65	0.7011		
130	0.70	0.6771		
140	0.75	0.7114		
150	0.81	0.6709		
150	0.81			0.6747
160	0.86	0.7138		
170	0.92	0.6833		
180	0.97	0.6039		
190	1.02	0.5782		
200	1.08	0.5810		
200	1.08			0.6541
210	1.13	0.5580		
220	1.18	0.5341		
230	1.24	0.5086		
240	1.29	0.5188		
250	1.35	0.5225		
250	1.35			0.6301
260	1.40	0.5064		
270	1.45	0.5503		
280	1.51	0.5260		
290	1.56	0.5336		
300	1.61	0.4699		
300	1.61			0.6106
310	1.67	0.5131		
320	1.72	0.4851		
330	1.78	0.5036		
340	1.83	0.5215		
350	1.88	0.4762		
350	1.88			0.5945
360	1.94	0.4963		
370	1.99	0.5179		
380	2.04	0.4316		
390	2.10	0.3924		
400	2.15	0.3734		
400	2.15			0.6139
410	2.20	0.3786		
420	2.26	0.3784		
430	2.31	0.3564		
440	2.37	0.3681		
450	2.42	0.3639		
450	2.42			0.6112
460	2.47	0.3676		
470	2.53	0.3742		
480	2.58	0.3401		
490	2.64	0.3653		
500	2.69	0.3783		
500	2.69			0.6081
510	2.74	0.3648		
520	2.80	0.3681		
530	2.85	0.3656		
540	2.91	0.3390		
550	2.96	0.3751		
550	2.96			0.6065
