
==================================================
🚀 TRAINING GRPO CON GIUDICE QWEN-0.5B (Security Domain)
==================================================
🔄 Avvio training GRPO...
{'loss': -0.0702, 'grad_norm': 0.65625, 'learning_rate': 9.959999999999999e-07, 'num_tokens': 10307.0, 'completions/mean_length': 87.775, 'completions/min_length': 64.6, 'completions/max_length': 127.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 87.775, 'completions/min_terminated_length': 64.6, 'completions/max_terminated_length': 127.4, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.6, 'rewards/strict_format_and_content_reward/std': 0.887174105644226, 'rewards/semantic_consistency_reward/mean': 0.03999999761581421, 'rewards/semantic_consistency_reward/std': 0.08944271802902222, 'rewards/conditional_perplexity_reward/mean': 0.2033346951007843, 'rewards/conditional_perplexity_reward/std': 0.07305933460593224, 'reward': 1.843334674835205, 'reward_std': 0.9274021066725254, 'frac_reward_zero_std': 0.0, 'entropy': 1.5574040800333022, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.92460222002119, 'epoch': 0.01}
{'loss': -0.0519, 'grad_norm': 0.7890625, 'learning_rate': 9.91e-07, 'num_tokens': 20607.0, 'completions/mean_length': 89.7, 'completions/min_length': 63.2, 'completions/max_length': 127.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.7, 'completions/min_terminated_length': 63.2, 'completions/max_terminated_length': 127.4, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 0.8164634466171264, 'rewards/strict_format_and_content_reward/mean': 1.7, 'rewards/strict_format_and_content_reward/std': 0.8485280990600585, 'rewards/semantic_consistency_reward/mean': 0.12499998807907105, 'rewards/semantic_consistency_reward/std': 0.3402082443237305, 'rewards/conditional_perplexity_reward/mean': 0.24921319782733917, 'rewards/conditional_perplexity_reward/std': 0.07695848494768143, 'reward': 1.6992132067680359, 'reward_std': 1.9312589764595032, 'frac_reward_zero_std': 0.0, 'entropy': 1.4636320888996124, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.004493480129167, 'epoch': 0.02}
{'loss': 0.0468, 'grad_norm': 0.7734375, 'learning_rate': 9.86e-07, 'num_tokens': 31122.0, 'completions/mean_length': 93.175, 'completions/min_length': 48.4, 'completions/max_length': 148.4, 'completions/clipped_ratio': 0.05, 'completions/mean_terminated_length': 89.15833435058593, 'completions/min_terminated_length': 48.4, 'completions/max_terminated_length': 148.0, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.15, 'rewards/strict_format_and_content_reward/std': 1.458953893184662, 'rewards/semantic_consistency_reward/mean': -0.020000000298023225, 'rewards/semantic_consistency_reward/std': 0.08141604661941529, 'rewards/conditional_perplexity_reward/mean': 0.22152578830718994, 'rewards/conditional_perplexity_reward/std': 0.10341867804527283, 'reward': 0.9765257477760315, 'reward_std': 2.3896034479141237, 'frac_reward_zero_std': 0.0, 'entropy': 1.5681287437677383, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 33.008720959955824, 'epoch': 0.03}
{'loss': 0.0158, 'grad_norm': 0.671875, 'learning_rate': 9.81e-07, 'num_tokens': 41755.0, 'completions/mean_length': 99.625, 'completions/min_length': 63.2, 'completions/max_length': 151.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 96.725, 'completions/min_terminated_length': 63.2, 'completions/max_terminated_length': 133.0, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.1700168609619142, 'rewards/strict_format_and_content_reward/mean': 1.65, 'rewards/strict_format_and_content_reward/std': 0.8434314370155335, 'rewards/semantic_consistency_reward/mean': 0.08499999642372132, 'rewards/semantic_consistency_reward/std': 0.18610117435455323, 'rewards/conditional_perplexity_reward/mean': 0.23726589381694793, 'rewards/conditional_perplexity_reward/std': 0.07564562186598778, 'reward': 1.47226585149765, 'reward_std': 2.053651164472103, 'frac_reward_zero_std': 0.0, 'entropy': 1.5398551613092422, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 33.506769119948146, 'epoch': 0.04}
{'loss': 0.0211, 'grad_norm': 0.76171875, 'learning_rate': 9.759999999999998e-07, 'num_tokens': 52947.0, 'completions/mean_length': 89.0, 'completions/min_length': 60.6, 'completions/max_length': 132.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.0, 'completions/min_terminated_length': 60.6, 'completions/max_terminated_length': 132.4, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 0.8164634466171264, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.214038372039795, 'rewards/semantic_consistency_reward/mean': 0.07999999523162842, 'rewards/semantic_consistency_reward/std': 0.08684962391853332, 'rewards/conditional_perplexity_reward/mean': 0.24192752540111542, 'rewards/conditional_perplexity_reward/std': 0.09246850609779358, 'reward': 1.3469274044036865, 'reward_std': 2.1273860573768615, 'frac_reward_zero_std': 0.0, 'entropy': 1.5010578051209449, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 30.255945760011674, 'epoch': 0.05}
{'loss': -0.0982, 'grad_norm': 0.83203125, 'learning_rate': 9.709999999999999e-07, 'num_tokens': 63123.0, 'completions/mean_length': 89.9, 'completions/min_length': 62.6, 'completions/max_length': 132.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.9, 'completions/min_terminated_length': 62.6, 'completions/max_terminated_length': 132.8, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 0.8706783294677735, 'rewards/semantic_consistency_reward/mean': 0.019999998807907104, 'rewards/semantic_consistency_reward/std': 0.182678484916687, 'rewards/conditional_perplexity_reward/mean': 0.22787638902664184, 'rewards/conditional_perplexity_reward/std': 0.059413733333349227, 'reward': 1.7478763818740846, 'reward_std': 1.3258378349244595, 'frac_reward_zero_std': 0.0, 'entropy': 1.44618316590786, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.383737179962917, 'epoch': 0.06}
{'loss': -0.0302, 'grad_norm': 0.81640625, 'learning_rate': 9.66e-07, 'num_tokens': 72943.0, 'completions/mean_length': 79.8, 'completions/min_length': 54.0, 'completions/max_length': 107.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 79.8, 'completions/min_terminated_length': 54.0, 'completions/max_terminated_length': 107.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.575, 'rewards/strict_format_and_content_reward/std': 1.0120996832847595, 'rewards/semantic_consistency_reward/mean': 0.19500000178813934, 'rewards/semantic_consistency_reward/std': 0.36753636598587036, 'rewards/conditional_perplexity_reward/mean': 0.20626899600028992, 'rewards/conditional_perplexity_reward/std': 0.07463613599538803, 'reward': 1.7262689590454101, 'reward_std': 1.9534857630729676, 'frac_reward_zero_std': 0.0, 'entropy': 1.4102107852697372, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 25.110119039937853, 'epoch': 0.07}
{'loss': -0.0797, 'grad_norm': 0.64453125, 'learning_rate': 9.61e-07, 'num_tokens': 83114.0, 'completions/mean_length': 89.575, 'completions/min_length': 58.6, 'completions/max_length': 132.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.575, 'completions/min_terminated_length': 58.6, 'completions/max_terminated_length': 132.0, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.65, 'rewards/strict_format_and_content_reward/std': 0.6520995616912841, 'rewards/semantic_consistency_reward/mean': 0.1049999937415123, 'rewards/semantic_consistency_reward/std': 0.2649241268634796, 'rewards/conditional_perplexity_reward/mean': 0.21918716430664062, 'rewards/conditional_perplexity_reward/std': 0.07074207365512848, 'reward': 1.8491871356964111, 'reward_std': 1.2220829889178275, 'frac_reward_zero_std': 0.0, 'entropy': 1.5461744904518127, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 31.02335845986381, 'epoch': 0.08}
{'loss': -0.0997, 'grad_norm': 0.75390625, 'learning_rate': 9.559999999999998e-07, 'num_tokens': 93478.0, 'completions/mean_length': 88.3, 'completions/min_length': 48.8, 'completions/max_length': 125.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 88.3, 'completions/min_terminated_length': 48.8, 'completions/max_terminated_length': 125.0, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 0.8164634466171264, 'rewards/strict_format_and_content_reward/mean': 1.275, 'rewards/strict_format_and_content_reward/std': 1.4950491428375243, 'rewards/semantic_consistency_reward/mean': 0.08499999642372132, 'rewards/semantic_consistency_reward/std': 0.18610117435455323, 'rewards/conditional_perplexity_reward/mean': 0.21905348002910613, 'rewards/conditional_perplexity_reward/std': 0.07409070730209351, 'reward': 1.20405353307724, 'reward_std': 2.4188884526491163, 'frac_reward_zero_std': 0.0, 'entropy': 1.526787170767784, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 28.867229700181632, 'epoch': 0.09}
{'loss': -0.0381, 'grad_norm': 0.828125, 'learning_rate': 9.509999999999999e-07, 'num_tokens': 103715.0, 'completions/mean_length': 86.525, 'completions/min_length': 58.2, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 83.77857208251953, 'completions/min_terminated_length': 58.2, 'completions/max_terminated_length': 114.4, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.636396074295044, 'rewards/semantic_consistency_reward/mean': 0.10999999940395355, 'rewards/semantic_consistency_reward/std': 0.2975291609764099, 'rewards/conditional_perplexity_reward/mean': 0.21483237743377687, 'rewards/conditional_perplexity_reward/std': 0.07438570335507393, 'reward': 2.0998323917388917, 'reward_std': 0.8181118488311767, 'frac_reward_zero_std': 0.0, 'entropy': 1.5191100612282753, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.605875780014323, 'epoch': 0.1}
{'loss': -0.1353, 'grad_norm': 0.73828125, 'learning_rate': 9.459999999999999e-07, 'num_tokens': 113699.0, 'completions/mean_length': 87.3, 'completions/min_length': 54.6, 'completions/max_length': 133.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 87.3, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 133.2, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.325, 'rewards/strict_format_and_content_reward/std': 1.7192064285278321, 'rewards/semantic_consistency_reward/mean': -0.010000002384185792, 'rewards/semantic_consistency_reward/std': 0.3135960936546326, 'rewards/conditional_perplexity_reward/mean': 0.1938728004693985, 'rewards/conditional_perplexity_reward/std': 0.0586432158946991, 'reward': 1.1338728070259094, 'reward_std': 2.880881905555725, 'frac_reward_zero_std': 0.0, 'entropy': 1.634322428703308, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 30.801970479823648, 'epoch': 0.11}
