Step	Epoch	Train Loss	Validation Loss
--------------------------------------------------
10	0.05	2.5828		
20	0.11	2.1254		
30	0.16	1.6121		
40	0.22	1.2732		
50	0.27	1.0167		
50	0.27			1.0098
60	0.32	0.9142		
70	0.38	0.8712		
80	0.43	0.9027		
90	0.49	0.7697		
100	0.54	0.7729		
100	0.54			0.7532
110	0.59	0.7385		
120	0.65	0.7021		
130	0.70	0.6772		
140	0.75	0.7112		
150	0.81	0.6707		
150	0.81			0.6752
160	0.86	0.7146		
170	0.92	0.6848		
180	0.97	0.6052		
190	1.02	0.5769		
200	1.08	0.5815		
200	1.08			0.6543
210	1.13	0.5579		
220	1.18	0.5355		
230	1.24	0.5080		
240	1.29	0.5188		
250	1.35	0.5228		
250	1.35			0.6307
260	1.40	0.5056		
270	1.45	0.5522		
280	1.51	0.5255		
290	1.56	0.5350		
300	1.61	0.4698		
300	1.61			0.6107
310	1.67	0.5126		
320	1.72	0.4877		
330	1.78	0.5048		
340	1.83	0.5213		
350	1.88	0.4759		
350	1.88			0.5947
360	1.94	0.4968		
370	1.99	0.5216		
380	2.04	0.4313		
390	2.10	0.3930		
400	2.15	0.3749		
400	2.15			0.6148
410	2.20	0.3795		
420	2.26	0.3797		
430	2.31	0.3595		
440	2.37	0.3691		
450	2.42	0.3655		
450	2.42			0.6091
460	2.47	0.3701		
470	2.53	0.3732		
480	2.58	0.3424		
490	2.64	0.3675		
500	2.69	0.3778		
500	2.69			0.6074
510	2.74	0.3660		
520	2.80	0.3686		
530	2.85	0.3659		
540	2.91	0.3393		
550	2.96	0.3769		
550	2.96			0.6059
