Step: 1 - {'loss': 0.0332, 'grad_norm': 1.030318021774292, 'learning_rate': 5e-05, 'num_tokens': 2108.0, 'completions/mean_length': 79.0, 'completions/min_length': 74.0, 'completions/max_length': 84.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 79.0, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 84.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 7.5, 'rewards/reward_accuracy_strict_fn/std': 9.0, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.5501444339752197, 'rewards/reward_semantic_fn/std': 1.6113839149475098, 'reward': 13.80014419555664, 'reward_std': 8.191094398498535, 'frac_reward_zero_std': 0.0, 'kl': 0.0, 'entropy': 1.8241576850414276, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 5.634359300049255, 'epoch': 0.0005733944954128441}
Step: 2 - {'loss': -0.068, 'grad_norm': 0.8650731444358826, 'learning_rate': 4.985714285714286e-05, 'num_tokens': 4298.0, 'completions/mean_length': 106.5, 'completions/min_length': 81.0, 'completions/max_length': 162.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 106.5, 'completions/min_terminated_length': 81.0, 'completions/max_terminated_length': 162.0, 'rewards/reward_strict_format_fn/mean': 3.0, 'rewards/reward_strict_format_fn/std': 3.0, 'rewards/reward_accuracy_strict_fn/mean': 8.0, 'rewards/reward_accuracy_strict_fn/std': 8.0, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.242368459701538, 'rewards/reward_semantic_fn/std': 1.3498072624206543, 'reward': 14.242368698120117, 'reward_std': 12.330587387084961, 'frac_reward_zero_std': 0.0, 'kl': 0.0001619208705960773, 'entropy': 2.1763830184936523, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 8.138060500001302, 'epoch': 0.0011467889908256881}
Step: 3 - {'loss': 0.2351, 'grad_norm': 0.9532156586647034, 'learning_rate': 4.971428571428572e-05, 'num_tokens': 6559.0, 'completions/mean_length': 110.25, 'completions/min_length': 72.0, 'completions/max_length': 156.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 110.25, 'completions/min_terminated_length': 72.0, 'completions/max_terminated_length': 156.0, 'rewards/reward_strict_format_fn/mean': 2.25, 'rewards/reward_strict_format_fn/std': 4.5, 'rewards/reward_accuracy_strict_fn/mean': 3.75, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.4700095653533936, 'rewards/reward_semantic_fn/std': 2.31691837310791, 'reward': 8.470009803771973, 'reward_std': 10.069186210632324, 'frac_reward_zero_std': 0.0, 'kl': 0.00036304833338363096, 'entropy': 2.2119608223438263, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 7.9781935999926645, 'epoch': 0.0017201834862385322}
Step: 4 - {'loss': -0.1276, 'grad_norm': 0.7251752614974976, 'learning_rate': 4.957142857142857e-05, 'num_tokens': 9002.0, 'completions/mean_length': 156.75, 'completions/min_length': 90.0, 'completions/max_length': 200.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 156.75, 'completions/min_terminated_length': 90.0, 'completions/max_terminated_length': 200.0, 'rewards/reward_strict_format_fn/mean': 3.0, 'rewards/reward_strict_format_fn/std': 3.0, 'rewards/reward_accuracy_strict_fn/mean': 3.75, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.137040138244629, 'rewards/reward_semantic_fn/std': 0.7787963151931763, 'reward': 9.887041091918945, 'reward_std': 7.50877571105957, 'frac_reward_zero_std': 0.0, 'kl': 0.0005684194838977419, 'entropy': 2.0895654559135437, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 9.953898900013883, 'epoch': 0.0022935779816513763}
Step: 5 - {'loss': -0.0698, 'grad_norm': 0.9816850423812866, 'learning_rate': 4.942857142857143e-05, 'num_tokens': 11399.0, 'completions/mean_length': 143.25, 'completions/min_length': 68.0, 'completions/max_length': 185.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 143.25, 'completions/min_terminated_length': 68.0, 'completions/max_terminated_length': 185.0, 'rewards/reward_strict_format_fn/mean': 2.25, 'rewards/reward_strict_format_fn/std': 2.872281312942505, 'rewards/reward_accuracy_strict_fn/mean': -1.0, 'rewards/reward_accuracy_strict_fn/std': 8.717798233032227, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 4.001984119415283, 'rewards/reward_semantic_fn/std': 0.6618108153343201, 'reward': 5.251984119415283, 'reward_std': 6.206022262573242, 'frac_reward_zero_std': 0.0, 'kl': 0.0021085778425913304, 'entropy': 2.0240217745304108, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 9.336572099971818, 'epoch': 0.0028669724770642203}
Step: 6 - {'loss': -0.4286, 'grad_norm': 0.8626134395599365, 'learning_rate': 4.928571428571429e-05, 'num_tokens': 13643.0, 'completions/mean_length': 124.0, 'completions/min_length': 74.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 82.0, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 91.0, 'rewards/reward_strict_format_fn/mean': 0.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 2.5, 'rewards/reward_accuracy_strict_fn/std': 6.757711887359619, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 1.5555555820465088, 'rewards/reward_semantic_fn/std': 0.8888888955116272, 'reward': 4.80555534362793, 'reward_std': 8.489827156066895, 'frac_reward_zero_std': 0.0, 'kl': 0.004315648344345391, 'entropy': 2.9706192314624786, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.814208600029815, 'epoch': 0.0034403669724770644}
Step: 7 - {'loss': -0.0199, 'grad_norm': 1.0162415504455566, 'learning_rate': 4.9142857142857144e-05, 'num_tokens': 15789.0, 'completions/mean_length': 84.5, 'completions/min_length': 77.0, 'completions/max_length': 101.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 84.5, 'completions/min_terminated_length': 77.0, 'completions/max_terminated_length': 101.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 6.5, 'rewards/reward_accuracy_strict_fn/std': 6.350852966308594, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.6122689247131348, 'rewards/reward_semantic_fn/std': 0.4171207845211029, 'reward': 13.862268447875977, 'reward_std': 5.842566013336182, 'frac_reward_zero_std': 0.0, 'kl': 0.005837558361236006, 'entropy': 2.0291947722434998, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 5.5852392000088, 'epoch': 0.0040137614678899085}
Step: 8 - {'loss': 0.3197, 'grad_norm': 0.78745037317276, 'learning_rate': 4.9e-05, 'num_tokens': 18102.0, 'completions/mean_length': 129.25, 'completions/min_length': 78.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 89.0, 'completions/min_terminated_length': 78.0, 'completions/max_terminated_length': 109.0, 'rewards/reward_strict_format_fn/mean': 3.0, 'rewards/reward_strict_format_fn/std': 3.0, 'rewards/reward_accuracy_strict_fn/mean': 9.25, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.183150291442871, 'rewards/reward_semantic_fn/std': 2.1310036182403564, 'reward': 14.433150291442871, 'reward_std': 6.136220455169678, 'frac_reward_zero_std': 0.0, 'kl': 0.003737352933967486, 'entropy': 3.339988559484482, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.827459899970563, 'epoch': 0.0045871559633027525}
Step: 9 - {'loss': -0.0934, 'grad_norm': 1.1468851566314697, 'learning_rate': 4.885714285714286e-05, 'num_tokens': 20250.0, 'completions/mean_length': 88.0, 'completions/min_length': 76.0, 'completions/max_length': 105.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 88.0, 'completions/min_terminated_length': 76.0, 'completions/max_terminated_length': 105.0, 'rewards/reward_strict_format_fn/mean': 4.5, 'rewards/reward_strict_format_fn/std': 0.0, 'rewards/reward_accuracy_strict_fn/mean': 3.75, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.94431209564209, 'rewards/reward_semantic_fn/std': 0.23010525107383728, 'reward': 12.19431209564209, 'reward_std': 5.459921836853027, 'frac_reward_zero_std': 0.0, 'kl': 0.0070344493724405766, 'entropy': 1.8371355831623077, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 5.705590600002324, 'epoch': 0.005160550458715597}
Step: 10 - {'loss': 0.0431, 'grad_norm': 0.7626403570175171, 'learning_rate': 4.8714285714285714e-05, 'num_tokens': 22581.0, 'completions/mean_length': 143.75, 'completions/min_length': 95.0, 'completions/max_length': 180.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 143.75, 'completions/min_terminated_length': 95.0, 'completions/max_terminated_length': 180.0, 'rewards/reward_strict_format_fn/mean': 1.5, 'rewards/reward_strict_format_fn/std': 3.464101552963257, 'rewards/reward_accuracy_strict_fn/mean': 2.5, 'rewards/reward_accuracy_strict_fn/std': 6.757711887359619, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.113193988800049, 'rewards/reward_semantic_fn/std': 1.6253635883331299, 'reward': 7.113193511962891, 'reward_std': 10.56493091583252, 'frac_reward_zero_std': 0.0, 'kl': 0.006924137938767672, 'entropy': 2.379356026649475, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 8.689657200011425, 'epoch': 0.005733944954128441}
Step: 11 - {'loss': 0.2482, 'grad_norm': 0.6125357747077942, 'learning_rate': 4.8571428571428576e-05, 'num_tokens': 24962.0, 'completions/mean_length': 150.25, 'completions/min_length': 68.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 117.0, 'completions/min_terminated_length': 68.0, 'completions/max_terminated_length': 145.0, 'rewards/reward_strict_format_fn/mean': -1.5, 'rewards/reward_strict_format_fn/std': 5.4772257804870605, 'rewards/reward_accuracy_strict_fn/mean': -2.5, 'rewards/reward_accuracy_strict_fn/std': 4.041451930999756, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.303055763244629, 'rewards/reward_semantic_fn/std': 1.3784997463226318, 'reward': -1.6969443559646606, 'reward_std': 7.2045674324035645, 'frac_reward_zero_std': 0.0, 'kl': 0.0051473816856741905, 'entropy': 2.277816116809845, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.727548099996056, 'epoch': 0.006307339449541285}
