📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Safe Rule Specialist Mode
Dataset: ../dataset_qwen_safe_only
{'loss': 0.0291, 'grad_norm': 0.0, 'learning_rate': 1.9733333333333336e-05, 'num_tokens': 8466.0, 'completions/mean_length': 29.05, 'completions/min_length': 21.2, 'completions/max_length': 42.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.05, 'completions/min_terminated_length': 21.2, 'completions/max_terminated_length': 42.2, 'rewards/reward_xml_format_fn/mean': 0.9, 'rewards/reward_xml_format_fn/std': 0.2828427076339722, 'rewards/reward_trigger_action_relevance_fn/mean': 1.7125, 'rewards/reward_trigger_action_relevance_fn/std': 0.6464603900909424, 'reward': 2.6125, 'reward_std': 0.9293030977249146, 'frac_reward_zero_std': 0.8, 'entropy': 0.39450098648667337, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.77705787998857, 'epoch': 0.01}
{'loss': -0.003, 'grad_norm': 0.0, 'learning_rate': 1.94e-05, 'num_tokens': 16813.0, 'completions/mean_length': 28.475, 'completions/min_length': 21.4, 'completions/max_length': 43.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.475, 'completions/min_terminated_length': 21.4, 'completions/max_terminated_length': 43.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 1.95, 'rewards/reward_trigger_action_relevance_fn/std': 0.5690393328666687, 'reward': 2.95, 'reward_std': 0.5690393328666687, 'frac_reward_zero_std': 0.9, 'entropy': 0.34804615527391436, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.650233359995763, 'epoch': 0.01}
{'loss': -0.0181, 'grad_norm': 0.0, 'learning_rate': 1.9066666666666668e-05, 'num_tokens': 26178.0, 'completions/mean_length': 26.825, 'completions/min_length': 20.6, 'completions/max_length': 35.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.825, 'completions/min_terminated_length': 20.6, 'completions/max_terminated_length': 35.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 1.85, 'rewards/reward_trigger_action_relevance_fn/std': 0.5554607272148132, 'reward': 2.85, 'reward_std': 0.5554606795310975, 'frac_reward_zero_std': 0.6, 'entropy': 0.3606475178152323, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.871288840001217, 'epoch': 0.02}
{'loss': -0.0434, 'grad_norm': 0.0, 'learning_rate': 1.8733333333333336e-05, 'num_tokens': 34977.0, 'completions/mean_length': 30.775, 'completions/min_length': 23.0, 'completions/max_length': 45.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.775, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 45.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 1.9875, 'rewards/reward_trigger_action_relevance_fn/std': 0.6894154667854309, 'reward': 2.9875, 'reward_std': 0.689415442943573, 'frac_reward_zero_std': 0.5, 'entropy': 0.3757015746086836, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.423014060000423, 'epoch': 0.02}
{'loss': -0.0161, 'grad_norm': 0.0, 'learning_rate': 1.8400000000000003e-05, 'num_tokens': 42942.0, 'completions/mean_length': 26.025, 'completions/min_length': 19.2, 'completions/max_length': 35.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.025, 'completions/min_terminated_length': 19.2, 'completions/max_terminated_length': 35.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 1.925, 'rewards/reward_trigger_action_relevance_fn/std': 0.7088599801063538, 'reward': 2.925, 'reward_std': 0.7088599562644958, 'frac_reward_zero_std': 0.5, 'entropy': 0.4231016803532839, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.276142040011473, 'epoch': 0.03}
{'loss': -0.007, 'grad_norm': 0.0, 'learning_rate': 1.8066666666666668e-05, 'num_tokens': 51847.0, 'completions/mean_length': 31.425, 'completions/min_length': 20.4, 'completions/max_length': 47.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.425, 'completions/min_terminated_length': 20.4, 'completions/max_terminated_length': 47.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 2.1875, 'rewards/reward_trigger_action_relevance_fn/std': 0.7852317333221436, 'reward': 3.1875, 'reward_std': 0.7852316975593567, 'frac_reward_zero_std': 0.6, 'entropy': 0.35475804200395944, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.631814539962216, 'epoch': 0.03}
{'loss': -0.061, 'grad_norm': 2.140625, 'learning_rate': 1.7733333333333335e-05, 'num_tokens': 60424.0, 'completions/mean_length': 27.225, 'completions/min_length': 19.6, 'completions/max_length': 37.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.225, 'completions/min_terminated_length': 19.6, 'completions/max_terminated_length': 37.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 2.1625, 'rewards/reward_trigger_action_relevance_fn/std': 1.0499313116073608, 'reward': 3.1625, 'reward_std': 1.049931287765503, 'frac_reward_zero_std': 0.1, 'entropy': 0.35254424028098585, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.658547140005975, 'epoch': 0.04}
{'loss': -0.0157, 'grad_norm': 0.0, 'learning_rate': 1.7400000000000003e-05, 'num_tokens': 69119.0, 'completions/mean_length': 29.575, 'completions/min_length': 22.2, 'completions/max_length': 39.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.575, 'completions/min_terminated_length': 22.2, 'completions/max_terminated_length': 39.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 2.55, 'rewards/reward_trigger_action_relevance_fn/std': 1.0336106777191163, 'reward': 3.55, 'reward_std': 1.0336106538772583, 'frac_reward_zero_std': 0.6, 'entropy': 0.329079875536263, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.039598319970537, 'epoch': 0.04}
{'loss': -0.0299, 'grad_norm': 1.2890625, 'learning_rate': 1.706666666666667e-05, 'num_tokens': 77962.0, 'completions/mean_length': 29.575, 'completions/min_length': 20.4, 'completions/max_length': 45.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.575, 'completions/min_terminated_length': 20.4, 'completions/max_terminated_length': 45.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 2.325, 'rewards/reward_trigger_action_relevance_fn/std': 1.2571556568145752, 'reward': 3.325, 'reward_std': 1.2571555852890015, 'frac_reward_zero_std': 0.4, 'entropy': 0.37474231887608767, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.321083780011396, 'epoch': 0.05}
{'loss': -0.0133, 'grad_norm': 0.0, 'learning_rate': 1.6733333333333335e-05, 'num_tokens': 86486.0, 'completions/mean_length': 28.0, 'completions/min_length': 21.8, 'completions/max_length': 35.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.0, 'completions/min_terminated_length': 21.8, 'completions/max_terminated_length': 35.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.05, 'rewards/reward_trigger_action_relevance_fn/std': 0.6059926986694336, 'reward': 4.05, 'reward_std': 0.6059926748275757, 'frac_reward_zero_std': 0.5, 'entropy': 0.3223414316773415, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.148808600002667, 'epoch': 0.05}
{'loss': -0.0367, 'grad_norm': 1.5, 'learning_rate': 1.64e-05, 'num_tokens': 94657.0, 'completions/mean_length': 27.675, 'completions/min_length': 19.8, 'completions/max_length': 36.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.675, 'completions/min_terminated_length': 19.8, 'completions/max_terminated_length': 36.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 2.7, 'rewards/reward_trigger_action_relevance_fn/std': 0.9476444363594055, 'reward': 3.7, 'reward_std': 0.9476443648338317, 'frac_reward_zero_std': 0.4, 'entropy': 0.340919716656208, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.179161140031647, 'epoch': 0.06}
