📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Mode: Ground Truth Comparison
Dataset: ../dataset_qwen_safe_only_v2
🚀 Lancio Training Qwen 3B - Mode: Ground Truth Comparison
{'loss': -0.0171, 'grad_norm': 0.984375, 'learning_rate': 1.9771428571428574e-05, 'num_tokens': 22208.0, 'completions/mean_length': 49.6, 'completions/min_length': 38.0, 'completions/max_length': 60.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 49.6, 'completions/min_terminated_length': 38.0, 'completions/max_terminated_length': 60.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.3936800569295883, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.28717870712280275, 'rewards/reward_technical_quality_fn/mean': 1.725, 'rewards/reward_technical_quality_fn/std': 0.4738378882408142, 'reward': 3.118680000305176, 'reward_std': 0.46634358167648315, 'frac_reward_zero_std': 0.1, 'entropy': 0.4711373895406723, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.451892479951493, 'epoch': 0.01}
{'loss': -0.0058, 'grad_norm': 1.6015625, 'learning_rate': 1.9485714285714286e-05, 'num_tokens': 44100.0, 'completions/mean_length': 44.1, 'completions/min_length': 37.0, 'completions/max_length': 54.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.1, 'completions/min_terminated_length': 37.0, 'completions/max_terminated_length': 54.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.49314758032560346, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.41800953447818756, 'rewards/reward_technical_quality_fn/mean': 1.85, 'rewards/reward_technical_quality_fn/std': 0.31564187407493594, 'reward': 3.3431475162506104, 'reward_std': 0.6410909354686737, 'frac_reward_zero_std': 0.2, 'entropy': 0.3524985764175653, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.471343040000647, 'epoch': 0.01}
{'loss': 0.0537, 'grad_norm': 1.171875, 'learning_rate': 1.9200000000000003e-05, 'num_tokens': 67343.0, 'completions/mean_length': 50.775, 'completions/min_length': 37.0, 'completions/max_length': 81.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 47.28214340209961, 'completions/min_terminated_length': 37.0, 'completions/max_terminated_length': 66.8, 'rewards/reward_xml_format_fn/mean': 0.9, 'rewards/reward_xml_format_fn/std': 0.2828427076339722, 'rewards/reward_similarity_to_ground_truth_fn/mean': -0.11357567310333253, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5683564156293869, 'rewards/reward_technical_quality_fn/mean': 1.45, 'rewards/reward_technical_quality_fn/std': 0.6683676600456238, 'reward': 2.2364242911338805, 'reward_std': 1.324456089735031, 'frac_reward_zero_std': 0.0, 'entropy': 0.4410472514107823, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.061623179970773, 'epoch': 0.02}
{'loss': -0.001, 'grad_norm': 1.0078125, 'learning_rate': 1.8914285714285715e-05, 'num_tokens': 89612.0, 'completions/mean_length': 44.525, 'completions/min_length': 35.6, 'completions/max_length': 56.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.525, 'completions/min_terminated_length': 35.6, 'completions/max_terminated_length': 56.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.09044181406497956, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4028378963470459, 'rewards/reward_technical_quality_fn/mean': 1.875, 'rewards/reward_technical_quality_fn/std': 0.30471404194831847, 'reward': 2.9654417991638184, 'reward_std': 0.5759424328804016, 'frac_reward_zero_std': 0.4, 'entropy': 0.33836559001356364, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.719228220009246, 'epoch': 0.02}
{'loss': -0.0445, 'grad_norm': 1.4140625, 'learning_rate': 1.8628571428571428e-05, 'num_tokens': 111267.0, 'completions/mean_length': 45.275, 'completions/min_length': 36.6, 'completions/max_length': 57.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.275, 'completions/min_terminated_length': 36.6, 'completions/max_terminated_length': 57.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.1321848750114441, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.2621764332056046, 'rewards/reward_technical_quality_fn/mean': 1.925, 'rewards/reward_technical_quality_fn/std': 0.1632926881313324, 'reward': 3.057184934616089, 'reward_std': 0.34023716747760774, 'frac_reward_zero_std': 0.1, 'entropy': 0.3499479334801435, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.639151999971364, 'epoch': 0.03}
{'loss': -0.0243, 'grad_norm': 1.0, 'learning_rate': 1.8342857142857144e-05, 'num_tokens': 133788.0, 'completions/mean_length': 48.825, 'completions/min_length': 37.0, 'completions/max_length': 58.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 48.825, 'completions/min_terminated_length': 37.0, 'completions/max_terminated_length': 58.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': -0.008044210076332093, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.3558987438678741, 'rewards/reward_technical_quality_fn/mean': 1.925, 'rewards/reward_technical_quality_fn/std': 0.1632926881313324, 'reward': 2.916955757141113, 'reward_std': 0.39328187704086304, 'frac_reward_zero_std': 0.1, 'entropy': 0.346016489341855, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.41334535998758, 'epoch': 0.03}
{'loss': -0.0484, 'grad_norm': 0.6640625, 'learning_rate': 1.8057142857142857e-05, 'num_tokens': 155927.0, 'completions/mean_length': 43.275, 'completions/min_length': 37.0, 'completions/max_length': 54.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 43.275, 'completions/min_terminated_length': 37.0, 'completions/max_terminated_length': 54.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.145709066092968, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.40643221139907837, 'rewards/reward_technical_quality_fn/mean': 1.875, 'rewards/reward_technical_quality_fn/std': 0.35355337858200075, 'reward': 3.0207091331481934, 'reward_std': 0.5634784132242203, 'frac_reward_zero_std': 0.3, 'entropy': 0.3099598759785295, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.239390279958023, 'epoch': 0.04}
{'loss': -0.0038, 'grad_norm': 1.0703125, 'learning_rate': 1.7771428571428573e-05, 'num_tokens': 178330.0, 'completions/mean_length': 49.275, 'completions/min_length': 38.0, 'completions/max_length': 61.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 49.275, 'completions/min_terminated_length': 38.0, 'completions/max_terminated_length': 61.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.34599028155207634, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5196013957262039, 'rewards/reward_technical_quality_fn/mean': 1.75, 'rewards/reward_technical_quality_fn/std': 0.37370702624320984, 'reward': 3.09599027633667, 'reward_std': 0.6741640329360962, 'frac_reward_zero_std': 0.0, 'entropy': 0.3607778770849109, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.474687400006225, 'epoch': 0.04}
{'loss': 0.0149, 'grad_norm': 1.0390625, 'learning_rate': 1.748571428571429e-05, 'num_tokens': 200705.0, 'completions/mean_length': 44.875, 'completions/min_length': 36.4, 'completions/max_length': 58.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.875, 'completions/min_terminated_length': 36.4, 'completions/max_terminated_length': 58.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.12742178589105607, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.2838337063789368, 'rewards/reward_technical_quality_fn/mean': 1.8, 'rewards/reward_technical_quality_fn/std': 0.1414213538169861, 'reward': 2.927421808242798, 'reward_std': 0.3265369892120361, 'frac_reward_zero_std': 0.3, 'entropy': 0.37464720048010347, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.085387059976348, 'epoch': 0.05}
{'loss': -0.0252, 'grad_norm': 1.3515625, 'learning_rate': 1.72e-05, 'num_tokens': 222919.0, 'completions/mean_length': 47.25, 'completions/min_length': 38.6, 'completions/max_length': 58.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 47.25, 'completions/min_terminated_length': 38.6, 'completions/max_terminated_length': 58.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.20208523273468018, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.3196317762136459, 'rewards/reward_technical_quality_fn/mean': 1.95, 'rewards/reward_technical_quality_fn/std': 0.1414213538169861, 'reward': 3.1520851135253904, 'reward_std': 0.40970932245254515, 'frac_reward_zero_std': 0.0, 'entropy': 0.34486258067190645, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.06326169996755, 'epoch': 0.05}
{'loss': -0.0121, 'grad_norm': 1.078125, 'learning_rate': 1.6914285714285717e-05, 'num_tokens': 244708.0, 'completions/mean_length': 45.125, 'completions/min_length': 39.0, 'completions/max_length': 53.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.125, 'completions/min_terminated_length': 39.0, 'completions/max_terminated_length': 53.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.10253968760371208, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4065939158201218, 'rewards/reward_technical_quality_fn/mean': 1.65, 'rewards/reward_technical_quality_fn/std': 0.4132955074310303, 'reward': 2.7525396823883055, 'reward_std': 0.7396059691905975, 'frac_reward_zero_std': 0.3, 'entropy': 0.2616223307326436, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 20.820469379972202, 'epoch': 0.06}
