📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Mode: Ground Truth + Quality Checks
{'loss': 0.0364, 'grad_norm': 1.453125, 'learning_rate': 1.9771428571428574e-05, 'num_tokens': 18632.0, 'completions/mean_length': 35.2, 'completions/min_length': 29.4, 'completions/max_length': 44.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 35.2, 'completions/min_terminated_length': 29.4, 'completions/max_terminated_length': 44.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.7569353476166725, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5958042502403259, 'rewards/reward_technical_quality_fn/mean': 2.4, 'rewards/reward_technical_quality_fn/std': 0.45534553527832033, 'reward': 4.156935358047486, 'reward_std': 0.7964263498783112, 'frac_reward_zero_std': 0.1, 'entropy': 0.522354993969202, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.117769380146637, 'epoch': 0.01}
{'loss': -0.003, 'grad_norm': 1.3984375, 'learning_rate': 1.9485714285714286e-05, 'num_tokens': 37096.0, 'completions/mean_length': 33.4, 'completions/min_length': 27.6, 'completions/max_length': 40.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 33.4, 'completions/min_terminated_length': 27.6, 'completions/max_terminated_length': 40.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.9116276741027832, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5372620642185211, 'rewards/reward_technical_quality_fn/mean': 2.3, 'rewards/reward_technical_quality_fn/std': 0.45534553527832033, 'reward': 4.211627769470215, 'reward_std': 0.7748764395713806, 'frac_reward_zero_std': 0.0, 'entropy': 0.5683268085122108, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.089699239935726, 'epoch': 0.01}
{'loss': 0.0002, 'grad_norm': 1.703125, 'learning_rate': 1.9200000000000003e-05, 'num_tokens': 56663.0, 'completions/mean_length': 33.875, 'completions/min_length': 28.0, 'completions/max_length': 40.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 33.875, 'completions/min_terminated_length': 28.0, 'completions/max_terminated_length': 40.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.5059612989425659, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7372792661190033, 'rewards/reward_technical_quality_fn/mean': 2.325, 'rewards/reward_technical_quality_fn/std': 0.4881603717803955, 'reward': 3.830961322784424, 'reward_std': 0.9572973132133484, 'frac_reward_zero_std': 0.0, 'entropy': 0.5790449388325214, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.076716379984283, 'epoch': 0.02}
{'loss': 0.0134, 'grad_norm': 1.90625, 'learning_rate': 1.8914285714285715e-05, 'num_tokens': 75462.0, 'completions/mean_length': 32.775, 'completions/min_length': 27.4, 'completions/max_length': 38.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.775, 'completions/min_terminated_length': 27.4, 'completions/max_terminated_length': 38.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.6898509085178375, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5636469781398773, 'rewards/reward_technical_quality_fn/mean': 2.35, 'rewards/reward_technical_quality_fn/std': 0.4662890374660492, 'reward': 4.03985104560852, 'reward_std': 0.6599221110343934, 'frac_reward_zero_std': 0.0, 'entropy': 0.5648607186973095, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.149479499971495, 'epoch': 0.02}
{'loss': -0.0081, 'grad_norm': 1.5625, 'learning_rate': 1.8628571428571428e-05, 'num_tokens': 93547.0, 'completions/mean_length': 31.025, 'completions/min_length': 26.2, 'completions/max_length': 37.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.025, 'completions/min_terminated_length': 26.2, 'completions/max_terminated_length': 37.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8275770366191864, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7123833030462265, 'rewards/reward_technical_quality_fn/mean': 2.275, 'rewards/reward_technical_quality_fn/std': 0.38463485836982725, 'reward': 4.102576971054077, 'reward_std': 0.6463626444339752, 'frac_reward_zero_std': 0.0, 'entropy': 0.5182963125407696, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.558984060049987, 'epoch': 0.03}
{'loss': 0.0279, 'grad_norm': 1.515625, 'learning_rate': 1.8342857142857144e-05, 'num_tokens': 112450.0, 'completions/mean_length': 33.375, 'completions/min_length': 27.6, 'completions/max_length': 41.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 33.375, 'completions/min_terminated_length': 27.6, 'completions/max_terminated_length': 41.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.45897912979125977, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7267108201980591, 'rewards/reward_technical_quality_fn/mean': 2.425, 'rewards/reward_technical_quality_fn/std': 0.4696836888790131, 'reward': 3.883979082107544, 'reward_std': 0.7577949106693268, 'frac_reward_zero_std': 0.0, 'entropy': 0.5717557981610298, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 19.238742140098473, 'epoch': 0.03}
{'loss': 0.0245, 'grad_norm': 1.3515625, 'learning_rate': 1.8057142857142857e-05, 'num_tokens': 131082.0, 'completions/mean_length': 30.6, 'completions/min_length': 24.6, 'completions/max_length': 38.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.6, 'completions/min_terminated_length': 24.6, 'completions/max_terminated_length': 38.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8168013989925385, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5926738858222962, 'rewards/reward_technical_quality_fn/mean': 2.325, 'rewards/reward_technical_quality_fn/std': 0.40990084409713745, 'reward': 4.141801404953003, 'reward_std': 0.9257140994071961, 'frac_reward_zero_std': 0.0, 'entropy': 0.4767015893012285, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.86459195993375, 'epoch': 0.04}
{'loss': -0.0108, 'grad_norm': 2.078125, 'learning_rate': 1.7771428571428573e-05, 'num_tokens': 149799.0, 'completions/mean_length': 32.125, 'completions/min_length': 25.2, 'completions/max_length': 41.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.125, 'completions/min_terminated_length': 25.2, 'completions/max_terminated_length': 41.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.822829857468605, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5497751832008362, 'rewards/reward_technical_quality_fn/mean': 2.2875, 'rewards/reward_technical_quality_fn/std': 0.54212646484375, 'reward': 4.110329723358154, 'reward_std': 0.74285489320755, 'frac_reward_zero_std': 0.0, 'entropy': 0.5060338109731675, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.753571099950932, 'epoch': 0.04}
{'loss': -0.0038, 'grad_norm': 1.34375, 'learning_rate': 1.748571428571429e-05, 'num_tokens': 168504.0, 'completions/mean_length': 28.125, 'completions/min_length': 23.2, 'completions/max_length': 33.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.125, 'completions/min_terminated_length': 23.2, 'completions/max_terminated_length': 33.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.6834450542926789, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4682892709970474, 'rewards/reward_technical_quality_fn/mean': 2.4, 'rewards/reward_technical_quality_fn/std': 0.45534553527832033, 'reward': 4.083444976806641, 'reward_std': 0.7682540774345398, 'frac_reward_zero_std': 0.0, 'entropy': 0.522592979669571, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.85447734000627, 'epoch': 0.05}
{'loss': -0.0293, 'grad_norm': 2.0, 'learning_rate': 1.72e-05, 'num_tokens': 186929.0, 'completions/mean_length': 27.525, 'completions/min_length': 22.0, 'completions/max_length': 34.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.525, 'completions/min_terminated_length': 22.0, 'completions/max_terminated_length': 34.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.89115309715271, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.505899652838707, 'rewards/reward_technical_quality_fn/mean': 2.2, 'rewards/reward_technical_quality_fn/std': 0.7115287005901336, 'reward': 4.091153144836426, 'reward_std': 0.917418611049652, 'frac_reward_zero_std': 0.0, 'entropy': 0.4811667799949646, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.51391050000675, 'epoch': 0.05}
{'loss': -0.0567, 'grad_norm': 2.1875, 'learning_rate': 1.6914285714285717e-05, 'num_tokens': 205042.0, 'completions/mean_length': 28.225, 'completions/min_length': 23.0, 'completions/max_length': 33.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.225, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 33.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8078122854232788, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5325436532497406, 'rewards/reward_technical_quality_fn/mean': 2.3125, 'rewards/reward_technical_quality_fn/std': 0.4233848452568054, 'reward': 4.120312213897705, 'reward_std': 0.7099543571472168, 'frac_reward_zero_std': 0.0, 'entropy': 0.49090837575495244, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.81694387991447, 'epoch': 0.06}
