INFO:accelerate.utils.modeling:We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
{'loss': 2.6377, 'grad_norm': 1.803217887878418, 'learning_rate': 0.0001991913746630728, 'epoch': 0.013481631277384564}
{'loss': 1.1678, 'grad_norm': 1.8825526237487793, 'learning_rate': 0.000198292902066487, 'epoch': 0.026963262554769128}
{'loss': 0.6383, 'grad_norm': 1.0042179822921753, 'learning_rate': 0.0001973944294699012, 'epoch': 0.04044489383215369}
{'loss': 0.497, 'grad_norm': 0.8212039470672607, 'learning_rate': 0.00019649595687331537, 'epoch': 0.053926525109538256}
{'loss': 0.4971, 'grad_norm': 0.5845329761505127, 'learning_rate': 0.00019559748427672958, 'epoch': 0.06740815638692282}
{'loss': 0.4407, 'grad_norm': 0.6457589268684387, 'learning_rate': 0.00019469901168014378, 'epoch': 0.08088978766430738}
{'loss': 0.4484, 'grad_norm': 0.5724671483039856, 'learning_rate': 0.00019380053908355795, 'epoch': 0.09437141894169195}
{'loss': 0.4038, 'grad_norm': 0.578359842300415, 'learning_rate': 0.00019290206648697215, 'epoch': 0.10785305021907651}
{'loss': 0.4249, 'grad_norm': 0.5446491241455078, 'learning_rate': 0.00019200359389038636, 'epoch': 0.12133468149646107}
{'loss': 0.4242, 'grad_norm': 0.5224648714065552, 'learning_rate': 0.00019110512129380053, 'epoch': 0.13481631277384565}
{'loss': 0.3792, 'grad_norm': 0.5161489248275757, 'learning_rate': 0.00019020664869721473, 'epoch': 0.1482979440512302}
{'loss': 0.412, 'grad_norm': 0.551892101764679, 'learning_rate': 0.00018930817610062894, 'epoch': 0.16177957532861476}
{'loss': 0.3755, 'grad_norm': 0.5775894522666931, 'learning_rate': 0.00018840970350404314, 'epoch': 0.17526120660599934}
{'loss': 0.3939, 'grad_norm': 0.5656766891479492, 'learning_rate': 0.0001875112309074573, 'epoch': 0.1887428378833839}
{'loss': 0.3789, 'grad_norm': 0.5359838604927063, 'learning_rate': 0.00018661275831087152, 'epoch': 0.20222446916076844}
{'loss': 0.3659, 'grad_norm': 0.5373532176017761, 'learning_rate': 0.00018571428571428572, 'epoch': 0.21570610043815303}
